"Source:","/Users/juan/Documents/KiCad/projects/Punkys-new-brew/Punkys-new-brew.kicad_sch"
"Date:","2023 October 26, Thursday 14:26:57"
"Tool:","Eeschema 7.0.1-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","64"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","1","C1","C_Polarized_THL","*SCS:C_Polarized_THL","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","",""
"2","3","C2, C4, C5","10nF","*SCS:C-THL","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"3","1","C3","100nF","*SCS:C-THL","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"4","2","C6, C7","2.2uF","*SCS:C-THL","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"5","1","C8","2.2nF","*SCS:C-THL","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"6","1","C9","1uF","*SCS:C-THL","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"7","5","D1, D2, D3, D4, D5","Schottky","*SCS:D_Schottky-THL","*SCS_ScruffyCat:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","~","","",""
"8","5","D6, D7, D8, D9, D10","1N4148","Diode:1N4148","*SCS_ScruffyCat:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","D","1=K 2=A"
"9","1","D11","LED","Device:LED","LED_THT:LED_D3.0mm","~","","",""
"10","1","FB1","FerriteBead","*SCS:FerriteBead_THL","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","~","","",""
"11","1","J1","+12v","*SCS:Erurorack_Power","*SCS_ScruffyCat:IDC-Header_2x05_P2.54mm_Vertical","~","","",""
"12","1","J2","CV1-In","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"13","1","J3","CV2-In","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"14","1","J4","Gate-In","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"15","1","J5","Audio-Out","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"16","1","J6","Ext-Audio","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"17","1","J7","ENV1","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"18","1","J8","INV_ENV1","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"19","1","J9","ENV2","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"20","1","J10","VCA-CV","*SCS:Audio_Jack_Switch","*SCS_ScruffyCat:Jack_3.5mm_QingPu_thonk-PJ398SM_Vertical_CircularHoles","~","","",""
"21","1","J11","1x10_main","Connector:Conn_01x10_Pin","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","","",""
"22","1","J12","1x10_control","Connector:Conn_01x10_Socket","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","",""
"23","1","J13","L_1x12_main","Connector:Conn_01x12_Pin","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~","","",""
"24","1","J14","L_1x12_control","Connector:Conn_01x12_Socket","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~","","",""
"25","1","J15","R_1x12_control","Connector:Conn_01x12_Socket","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~","","",""
"26","1","J16","R_1x12_main","Connector:Conn_01x12_Pin","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~","","",""
"27","2","J17, J18","ScrewHole","*SCS:Eurorack_Screw_Hole_Oval","*SCS_ScruffyCat:ScrewHole_Oval","~","","",""
"28","7","R1, R5, R7, R8, R11, R12, R13","1k","*SCS:R-THL","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","","",""
"29","7","R2, R3, R4, R6, R9, R10, R14","100k","*SCS:R-THL","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","","",""
"30","1","R15","140k","*SCS:R-THL","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","","",""
"31","3","RV1, RV2, RV3","500k","*SCS:R_Potentiometer-THL","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","~","","",""
"32","3","RV4, RV5, RV7","1M","*SCS:R_Potentiometer-THL","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","~","","",""
"33","1","RV6","100k","*SCS:R_Potentiometer-THL","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles","~","","",""
"34","1","U1","LM556","Timer:LM556","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm556.pdf","","",""
"35","1","U2","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","","",""
"36","1","U3","VTL5C","Isolator:VTL5C","*SCS_ScruffyCat:Vactrol_DIY","http://www.qsl.net/wa1ion/vactrol/vactrol.pdf","","",""
